Elementary_School,Elementary_Borough,Elementary_SchoolDigger_Rank,Elementary_Total_Schools,Middle_School,Middle_Borough,Middle_SchoolDigger_Rank,Middle_Total_Schools,Elementary_School_Type,Middle_School_Type,Elementary_Address,Middle_Address,Overlap_Area
P.S. 527 - East Side School for Social Action,Manhattan,109.0,2445,J.H.S. 167 Robert F. Wagner,Manhattan,96.0,1504,Elementary,Junior High-Intermediate-Middle,"323 EAST 91 STREET, MANHATTAN, NY 10128","220 East 76 Street, Manhattan, NY 10021",6.710431047798676e-06
P.S. 527 - East Side School for Social Action,Manhattan,109.0,2445,J.H.S. 167 Robert F. Wagner,Manhattan,96.0,1504,Elementary,Junior High-Intermediate-Middle,"323 EAST 91 STREET, MANHATTAN, NY 10128","220 East 76 Street, Manhattan, NY 10021",2.4900166468872275e-05
P.S. 234 Independence School,Manhattan,91.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"292 GREENWICH STREET, MANHATTAN, NY 10007","330 EAST 21 STREET, MANHATTAN, NY 10010",6.364262482045443e-13
P.S. 098 The Douglaston School,Queens,95.0,2445,M.S. 158 Marie Curie,Queens,116.0,1504,Elementary,Junior High-Intermediate-Middle,"40-20 235 STREET, QUEENS, NY 11363","46-35 Oceania Street, Queens, NY 11361",2.1726749594045596e-05
Spruce Street School,Manhattan,110.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,K-8,Junior High-Intermediate-Middle,"12 Spruce Street, Manhattan, NY 10038","330 EAST 21 STREET, MANHATTAN, NY 10010",5.2158977782596424e-05
P.S. 101 School in the Gardens,Queens,79.0,2445,P.S./I.S. 113 Anthony J. Pranzo,Queens,153.0,1504,Elementary,K-8,"2 RUSSELL PLACE, QUEENS, NY 11375","78-23 87 Street, Queens, NY 11385",4.316648722237991e-13
P.S. 376,Queens,117.0,2445,M.S. 158 Marie Curie,Queens,116.0,1504,Elementary,Junior High-Intermediate-Middle,"210-21 48 AVENUE, QUEENS, NY 11364","46-35 Oceania Street, Queens, NY 11361",7.035674519504712e-05
P.S. 171 Patrick Henry,Manhattan,140.0,2445,J.H.S. 167 Robert F. Wagner,Manhattan,96.0,1504,K-8,Junior High-Intermediate-Middle,"19 EAST 103 STREET, MANHATTAN, NY 10029","220 East 76 Street, Manhattan, NY 10021",6.994360535354482e-13
P.S. 8 Shirlee Solomon,Staten Island,26.0,2445,I.S. 024 Myra S. Barnes,Staten Island,212.0,1504,Elementary,Junior High-Intermediate-Middle,"112 LINDENWOOD ROAD, STATEN ISLAND, NY 10308","750 DURANT AVENUE, STATEN ISLAND, NY 10308",0.00019437346950103358
P.S. 8 Shirlee Solomon,Staten Island,26.0,2445,I.S. 024 Myra S. Barnes,Staten Island,212.0,1504,Elementary,Junior High-Intermediate-Middle,"112 LINDENWOOD ROAD, STATEN ISLAND, NY 10308","750 DURANT AVENUE, STATEN ISLAND, NY 10308",4.840548272251445e-05
P.S. 059 Beekman Hill International,Manhattan,121.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"231-249 East 56 Street, Manhattan, NY 10022","330 EAST 21 STREET, MANHATTAN, NY 10010",0.00013272191517175593
P.S. 041 Crocheron,Queens,55.0,2445,I.S. 025 Adrien Block,Queens,189.0,1504,Elementary,Junior High-Intermediate-Middle,"34-06 214 Lane, Queens, NY 11361","34-65 192 STREET, QUEENS, NY 11358",2.4609810177922475e-11
P.S. 163 Bath Beach,Brooklyn,153.0,2445,The Madeleine Brennan School,Brooklyn,93.0,1504,K-8,Junior High-Intermediate-Middle,"109 Bay 14 Street, Brooklyn, NY 11214","8010 12 AVENUE, BROOKLYN, NY 11228",1.166865362366614e-09
P.S. 066 Jacqueline Kennedy Onassis,Queens,99.0,2445,P.S./I.S. 113 Anthony J. Pranzo,Queens,153.0,1504,Elementary,K-8,"85-11 102 Street, Queens, NY 11418","78-23 87 Street, Queens, NY 11385",3.0350787442763854e-11
P.S. 011: The Sarah J. Garnet Elementary School,Manhattan,150.0,2445,J.H.S. 104 Simon Baruch,Manhattan,120.0,1504,Elementary,Junior High-Intermediate-Middle,"320 West 21 Street, Manhattan, NY 10011","330 EAST 21 STREET, MANHATTAN, NY 10010",2.6274220177723082e-09
