Elementary_School,Elementary_Borough,Elementary_SchoolDigger_Rank,Elementary_Total_Schools,Middle_School,Middle_Borough,Middle_SchoolDigger_Rank,Middle_Total_Schools,Elementary_School_Type,Middle_School_Type,Elementary_Address,Middle_Address,Overlap_Area
P.S. 049 Dorothy Bonawit Kole,Queens,758.0,2445,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",Queens,222.0,1504,K-8,K-8,"63-60 80 Street, Queens, NY 11379","69-10 65 Drive, Queens, NY 11379",2.650347427315838e-11
P.S./I.S. 78Q,Queens,147.0,2445,I.S. 125 Thom J. McCann Woodside,Queens,837.0,1504,K-8,Junior High-Intermediate-Middle,"48-09 CENTER BOULEVARD, QUEENS, NY 11109","46-02 47 AVENUE, QUEENS, NY 11377",7.836889630080158e-05
P.S./I.S. 78Q,Queens,147.0,2445,I.S. 125 Thom J. McCann Woodside,Queens,837.0,1504,K-8,Junior High-Intermediate-Middle,"48-09 CENTER BOULEVARD, QUEENS, NY 11109","46-02 47 AVENUE, QUEENS, NY 11377",5.77910634095069e-07
P.S. 049 Dorothy Bonawit Kole,Queens,758.0,2445,P.S. 049 Dorothy Bonawit Kole,Queens,229.0,1504,K-8,K-8,"63-60 80 Street, Queens, NY 11379","63-60 80 Street, Queens, NY 11379",0.00018647323617393427
P.S. 094 The Henry Longfellow,Brooklyn,799.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"5010 6 AVENUE, BROOKLYN, NY 11220","4812 9 Avenue, Brooklyn, NY 11220",1.0648009723125924e-08
P.S. 094 The Henry Longfellow,Brooklyn,799.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"5010 6 AVENUE, BROOKLYN, NY 11220","4812 9 Avenue, Brooklyn, NY 11220",5.073405775994696e-10
P.S. 094 The Henry Longfellow,Brooklyn,799.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"5010 6 AVENUE, BROOKLYN, NY 11220","4812 9 Avenue, Brooklyn, NY 11220",3.163886684510364e-05
P.S. 247 Brooklyn,Brooklyn,304.0,2445,I.S. 096 Seth Low,Brooklyn,690.0,1504,Elementary,Junior High-Intermediate-Middle,"7000 21 AVENUE, BROOKLYN, NY 11204","99 AVENUE P, BROOKLYN, NY 11204",1.0583651234986664e-09
P.S. 247 Brooklyn,Brooklyn,304.0,2445,I.S. 096 Seth Low,Brooklyn,690.0,1504,Elementary,Junior High-Intermediate-Middle,"7000 21 AVENUE, BROOKLYN, NY 11204","99 AVENUE P, BROOKLYN, NY 11204",3.4957325561726684e-05
Spruce Street School,Manhattan,110.0,2445,M.S. 297,Manhattan,885.0,1504,K-8,Junior High-Intermediate-Middle,"12 Spruce Street, Manhattan, NY 10038","75 MORTON STREET, MANHATTAN, NY 10014",1.0572643137862662e-08
P.S. 031 Samuel F. Dupont,Brooklyn,28.0,2445,I.S. 204 Oliver W. Holmes,Queens,969.0,1504,Elementary,Junior High-Intermediate-Middle,"75 MESEROLE AVENUE, BROOKLYN, NY 11222","36-41 28 STREET, QUEENS, NY 11106",7.484995298816952e-11
P.S. 052 John C. Thompson,Staten Island,400.0,2445,I.S. R002 George L. Egbert,Staten Island,599.0,1504,Elementary,Junior High-Intermediate-Middle,"450 BUEL AVENUE, STATEN ISLAND, NY 10305","333 Midland Avenue, Staten Island, NY 10306",0.0004357446655215778
P.S. 054 Charles W. Leng,Staten Island,485.0,2445,I.S. 072 Rocco Laurie,Staten Island,527.0,1504,Elementary,Junior High-Intermediate-Middle,"1060 Willowbrook Road, Staten Island, NY 10314","33 FERNDALE AVENUE, STATEN ISLAND, NY 10314",0.0007054790935135727
P.S. 196 Grand Central Parkway,Queens,13.0,2445,J.H.S. 217 Robert A. Van Wyck,Queens,1002.0,1504,Elementary,Junior High-Intermediate-Middle,"71-25 113 STREET, QUEENS, NY 11375","85-05 144 STREET, QUEENS, NY 11435",3.431317069965135e-07
P.S. 048 William G. Wilcox,Staten Island,420.0,2445,I.S. R002 George L. Egbert,Staten Island,599.0,1504,K-8,Junior High-Intermediate-Middle,"1050 Targee Street, STATEN ISLAND, NY 10304","333 Midland Avenue, Staten Island, NY 10306",1.2933905266308192e-10
P.S. 152 Gwendoline N. Alleyne School,Queens,670.0,2445,I.S. 141 The Steinway,Queens,350.0,1504,Elementary,Junior High-Intermediate-Middle,"33-52 62 STREET, QUEENS, NY 11377","37-11 21 AVENUE, QUEENS, NY 11105",2.498470004081091e-08
The Hector Figueroa School,Queens,481.0,2445,I.S. 230,Jackson Heights,549.0,1504,Elementary,Junior High-Intermediate-Middle,"69-01 34 Avenue, Queens, NY 11377","73-10 34 AVENUE, JACKSON HEIGHTS, NY 11372",3.569483723195454e-05
P.S. 108 Philip J. Abinanti,Bronx,373.0,2445,P.S. 083 Donald Hertz,Bronx,659.0,1504,K-8,K-8,"1964 Yates Avenue, Bronx, NY 10461","950 RHINELANDER AVENUE, BRONX, NY 10462",1.227641860016782e-09
P.S./I.S. 104 The Fort Hamilton School,Brooklyn,597.0,2445,P.S./I.S. 104 The Fort Hamilton School,Brooklyn,435.0,1504,K-8,K-8,"9115 5 AVENUE, BROOKLYN, NY 11209","9115 5 AVENUE, BROOKLYN, NY 11209",0.00018167158620151268
P.S. 120 Queens,Queens,759.0,2445,I.S. 237,Queens,275.0,1504,Elementary,Junior High-Intermediate-Middle,"58-01 136 STREET, QUEENS, NY 11355","46-21 COLDEN STREET, QUEENS, NY 11355",9.132669657366191e-05
P.S. 011: The Sarah J. Garnet Elementary School,Manhattan,150.0,2445,M.S. 297,Manhattan,885.0,1504,Elementary,Junior High-Intermediate-Middle,"320 West 21 Street, Manhattan, NY 10011","75 MORTON STREET, MANHATTAN, NY 10014",9.620522704543478e-06
P.S. 011: The Sarah J. Garnet Elementary School,Manhattan,150.0,2445,M.S. 297,Manhattan,885.0,1504,Elementary,Junior High-Intermediate-Middle,"320 West 21 Street, Manhattan, NY 10011","75 MORTON STREET, MANHATTAN, NY 10014",0.00013272082611734024
P.S. 236 Mill Basin,Brooklyn,294.0,2445,J.H.S. 078 Roy H. Mann,Brooklyn,748.0,1504,Elementary,Junior High-Intermediate-Middle,"6302 Avenue U, Brooklyn, NY 11234","1420 East 68 Street, Brooklyn, NY 11234",0.000244642285529854
P.S. 102 Bayview,Queens,320.0,2445,I.S. 5 - The Walter Crowley Intermediate School,Queens,723.0,1504,K-8,Junior High-Intermediate-Middle,"55-24 VAN HORN STREET, QUEENS, NY 11373","50-40 JACOBUS STREET, QUEENS, NY 11373",2.7687583434757752e-05
P.S./I.S. 113 Anthony J. Pranzo,Queens,665.0,2445,J.H.S. 190 Russell Sage,Queens,381.0,1504,K-8,Junior High-Intermediate-Middle,"78-23 87 Street, Queens, NY 11385","68-17 AUSTIN STREET, QUEENS, NY 11375",2.7265698306281203e-09
P.S. 133 The Bellerose School of Excellence,Queens,286.0,2445,Jean Nuzzi Intermediate School,Queens,762.0,1504,Elementary,Junior High-Intermediate-Middle,"248-05 86 AVENUE, QUEENS, NY 11426","213-10 92 AVENUE, QUEENS, NY 11428",9.857218861183329e-10
P.S. 255 Barbara Reing School,Brooklyn,741.0,2445,J.H.S. 234 Arthur W. Cunningham,Brooklyn,307.0,1504,Elementary,Junior High-Intermediate-Middle,"1866 East 17 Street, Brooklyn, NY 11229","1875 EAST 17 STREET, BROOKLYN, NY 11229",6.255375894536289e-05
P.S. 255 Barbara Reing School,Brooklyn,741.0,2445,J.H.S. 234 Arthur W. Cunningham,Brooklyn,307.0,1504,Elementary,Junior High-Intermediate-Middle,"1866 East 17 Street, Brooklyn, NY 11229","1875 EAST 17 STREET, BROOKLYN, NY 11229",4.476970997047685e-08
P.S. 152 Gwendoline N. Alleyne School,Queens,670.0,2445,I.S. 010 Horace Greeley,Queens,382.0,1504,Elementary,Junior High-Intermediate-Middle,"33-52 62 STREET, QUEENS, NY 11377","45-11 31 Avenue, Queens, NY 11103",7.704165276902417e-05
Battery Park City School,Manhattan,168.0,2445,M.S. 297,Manhattan,885.0,1504,K-8,Junior High-Intermediate-Middle,"55 BATTERY PLACE, MANHATTAN, NY 10280","75 MORTON STREET, MANHATTAN, NY 10014",5.343169131352183e-05
P.S. 095 Eastwood,Queens,387.0,2445,M.S. 358,Queens,669.0,1504,Elementary,Junior High-Intermediate-Middle,"179-01 90 AVENUE, QUEENS, NY 11432","88-08 164 Street, Queens, NY 11432",6.244228089356704e-13
P.S. 139 Rego Park,Queens,564.0,2445,I.S. 73 - The Frank Sansivieri Intermediate School,Queens,496.0,1504,Elementary,Junior High-Intermediate-Middle,"93-06 63 DRIVE, QUEENS, NY 11374","70-02 54 AVENUE, QUEENS, NY 11378",5.817085163568378e-13
P.S. 108 Captain Vincent G. Fowler,Queens,557.0,2445,M.S. 137 America's School of Heroes,Queens,508.0,1504,Elementary,Junior High-Intermediate-Middle,"108-10 109 AVENUE, QUEENS, NY 11420","109-15 98 STREET, QUEENS, NY 11417",0.00020803784085119656
P.S. 205 Clarion,Brooklyn,376.0,2445,I.S. 096 Seth Low,Brooklyn,690.0,1504,Elementary,Junior High-Intermediate-Middle,"6701 20 AVENUE, BROOKLYN, NY 11204","99 AVENUE P, BROOKLYN, NY 11204",5.195121432019432e-12
P.S. 205 Clarion,Brooklyn,376.0,2445,I.S. 096 Seth Low,Brooklyn,690.0,1504,Elementary,Junior High-Intermediate-Middle,"6701 20 AVENUE, BROOKLYN, NY 11204","99 AVENUE P, BROOKLYN, NY 11204",4.099528013419631e-05
P.S. 195 Manhattan Beach,Brooklyn,173.0,2445,P.S. K225 - The Eileen E. Zaglin,Brooklyn,894.0,1504,Elementary,K-8,"131 IRWIN STREET, BROOKLYN, NY 11235","1075 OCEAN VIEW AVENUE, BROOKLYN, NY 11235",1.3102266046562762e-07
P.S. 195 Manhattan Beach,Brooklyn,173.0,2445,P.S. K225 - The Eileen E. Zaglin,Brooklyn,894.0,1504,Elementary,K-8,"131 IRWIN STREET, BROOKLYN, NY 11235","1075 OCEAN VIEW AVENUE, BROOKLYN, NY 11235",0.00013266979848764439
P.S./ IS 178 Holliswood,Queens,1006.0,2445,J.H.S. 074 Nathaniel Hawthorne,Queens,69.0,1504,K-8,Junior High-Intermediate-Middle,"189-10 RADNOR ROAD, QUEENS, NY 11423","61-15 Oceania Street, Queens, NY 11364",9.439970115349746e-05
P.S. 131 Brooklyn,Brooklyn,885.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"4305 FT HAMILTON PARKWAY, BROOKLYN, NY 11219","4812 9 Avenue, Brooklyn, NY 11220",1.9997208354950103e-06
P.S. 131 Brooklyn,Brooklyn,885.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"4305 FT HAMILTON PARKWAY, BROOKLYN, NY 11219","4812 9 Avenue, Brooklyn, NY 11220",3.4671433960688347e-18
P.S. 131 Brooklyn,Brooklyn,885.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"4305 FT HAMILTON PARKWAY, BROOKLYN, NY 11219","4812 9 Avenue, Brooklyn, NY 11220",9.08280745803727e-06
P.S. 024 Andrew Jackson,Queens,346.0,2445,J.H.S. 189 Daniel Carter Beard,Queens,731.0,1504,Elementary,Junior High-Intermediate-Middle,"45-57 UNION STREET, QUEENS, NY 11355","144-80 BARCLAY AVENUE, QUEENS, NY 11355",5.4789442604191705e-09
P.S. 214 Cadwallader Colden,Queens,889.0,2445,I.S. 025 Adrien Block,Queens,189.0,1504,Elementary,Junior High-Intermediate-Middle,"31-15 140 Street, Queens, NY 11354","34-65 192 STREET, QUEENS, NY 11358",3.497044596002652e-13
Milton Fein School,Bronx,599.0,2445,Riverdale / Kingsbridge Academy (Middle School / High School 141),Bronx,481.0,1504,Elementary,Secondary School,"3201 KINGSBRIDGE AVENUE, BRONX, NY 10463","660 West 237 Street, Bronx, NY 10463",2.8333378828494024e-05
P.S. 205 Clarion,Brooklyn,376.0,2445,P.S. 226 Alfred De B. Mason,Brooklyn,705.0,1504,Elementary,K-8,"6701 20 AVENUE, BROOKLYN, NY 11204","6006 23 AVENUE, BROOKLYN, NY 11204",3.973075675222341e-12
P.S. 122 Mamie Fay,Queens,244.0,2445,I.S. 125 Thom J. McCann Woodside,Queens,837.0,1504,K-8,Junior High-Intermediate-Middle,"21-21 DITMARS BOULEVARD, QUEENS, NY 11105","46-02 47 AVENUE, QUEENS, NY 11377",6.073613233686267e-09
P.S. 130 The Parkside,Brooklyn,708.0,2445,J.H.S. 223 The Montauk,Brooklyn,374.0,1504,Elementary,Junior High-Intermediate-Middle,"70 Ocean Parkway, Brooklyn, NY 11218","4200 16 Avenue, Brooklyn, NY 11204",1.2667318897355421e-12
P.S. 130 The Parkside,Brooklyn,708.0,2445,J.H.S. 223 The Montauk,Brooklyn,374.0,1504,Elementary,Junior High-Intermediate-Middle,"70 Ocean Parkway, Brooklyn, NY 11218","4200 16 Avenue, Brooklyn, NY 11204",5.758121625647333e-06
P.S. 007 Louis F. Simeone,Queens,360.0,2445,I.S. 5 - The Walter Crowley Intermediate School,Queens,723.0,1504,Elementary,Junior High-Intermediate-Middle,"80-55 Cornish Avenue, Queens, NY 11373","50-40 JACOBUS STREET, QUEENS, NY 11373",6.755156379611708e-05
The Academy of Talented Scholars,Brooklyn,405.0,2445,I.S. 096 Seth Low,Brooklyn,690.0,1504,Elementary,Junior High-Intermediate-Middle,"50 AVENUE P, BROOKLYN, NY 11204","99 AVENUE P, BROOKLYN, NY 11204",6.281837365989826e-06
The Academy of Talented Scholars,Brooklyn,405.0,2445,I.S. 096 Seth Low,Brooklyn,690.0,1504,Elementary,Junior High-Intermediate-Middle,"50 AVENUE P, BROOKLYN, NY 11204","99 AVENUE P, BROOKLYN, NY 11204",7.2499394064915635e-06
P.S. 002 Meyer London,Manhattan,493.0,2445,M.S. 131,Manhattan,605.0,1504,Elementary,Junior High-Intermediate-Middle,"122 Henry Street, Manhattan, NY 10002","100 HESTER STREET, MANHATTAN, NY 10002",1.8538465608410494e-05
P.S. 153 Maspeth Elem,Queens,878.0,2445,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",Queens,222.0,1504,Elementary,K-8,"60-02 60 LANE, QUEENS, NY 11378","69-10 65 Drive, Queens, NY 11379",1.649573252223992e-11
The SEEALL Academy,Brooklyn,910.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,K-8,Junior High-Intermediate-Middle,"5601 16 AVENUE, BROOKLYN, NY 11204","4812 9 Avenue, Brooklyn, NY 11220",1.8097119102015922e-09
P.S. 230 Doris L. Cohen,Brooklyn,728.0,2445,J.H.S. 223 The Montauk,Brooklyn,374.0,1504,Elementary,Junior High-Intermediate-Middle,"1 ALBEMARLE ROAD, BROOKLYN, NY 11218","4200 16 Avenue, Brooklyn, NY 11204",7.416660964138937e-05
P.S. 230 Doris L. Cohen,Brooklyn,728.0,2445,J.H.S. 223 The Montauk,Brooklyn,374.0,1504,Elementary,Junior High-Intermediate-Middle,"1 ALBEMARLE ROAD, BROOKLYN, NY 11218","4200 16 Avenue, Brooklyn, NY 11204",1.6804915492416377e-08
Staten Island School of Civic Leadership,Staten Island,578.0,2445,I.S. 072 Rocco Laurie,Staten Island,527.0,1504,K-8,Junior High-Intermediate-Middle,"280 REGIS DRIVE, STATEN ISLAND, NY 10314","33 FERNDALE AVENUE, STATEN ISLAND, NY 10314",0.0001135033908911408
Space Shuttle Columbia School,Staten Island,579.0,2445,I.S. 072 Rocco Laurie,Staten Island,527.0,1504,Elementary,Junior High-Intermediate-Middle,"77 MARSH AVENUE, STATEN ISLAND, NY 10314","33 FERNDALE AVENUE, STATEN ISLAND, NY 10314",0.00015660791432732112
Sixth Avenue Elementary School,Manhattan,223.0,2445,M.S. 297,Manhattan,885.0,1504,Elementary,Junior High-Intermediate-Middle,"64 WEST 17 STREET, MANHATTAN, NY 10011","75 MORTON STREET, MANHATTAN, NY 10014",2.149569450890795e-07
P.S. 108 Captain Vincent G. Fowler,Queens,557.0,2445,J.H.S. 202 Robert H. Goddard,Queens,554.0,1504,Elementary,Junior High-Intermediate-Middle,"108-10 109 AVENUE, QUEENS, NY 11420","138-30 LAFAYETTE STREET, QUEENS, NY 11417",2.586730555929687e-08
P.S. 175 The Lynn Gross Discovery School,Queens,920.0,2445,J.H.S. 157 Stephen A. Halsey,Queens,192.0,1504,Elementary,Junior High-Intermediate-Middle,"64-35 102 STREET, QUEENS, NY 11374","63-55 102 Street, Queens, NY 11374",6.37605216051572e-05
P.S. 216 Arturo Toscanini,Brooklyn,849.0,2445,I.S. 228 David A. Boody,Brooklyn,264.0,1504,Elementary,Junior High-Intermediate-Middle,"350 AVENUE X, BROOKLYN, NY 11223","228 AVENUE S, BROOKLYN, NY 11223",4.5546442246984906e-10
P.S. 130 Hernando De Soto,Manhattan,230.0,2445,M.S. 297,Manhattan,885.0,1504,Elementary,Junior High-Intermediate-Middle,"143 BAXTER STREET, MANHATTAN, NY 10013","75 MORTON STREET, MANHATTAN, NY 10014",6.784032685630154e-06
P.S. 212,Queens,567.0,2445,I.S. 230,Jackson Heights,549.0,1504,Elementary,Junior High-Intermediate-Middle,"34-25 82 STREET, QUEENS, NY 11372","73-10 34 AVENUE, JACKSON HEIGHTS, NY 11372",4.0665051907701724e-13
P.S. 212,Queens,567.0,2445,I.S. 230,Jackson Heights,549.0,1504,Elementary,Junior High-Intermediate-Middle,"34-25 82 STREET, QUEENS, NY 11372","73-10 34 AVENUE, JACKSON HEIGHTS, NY 11372",7.806064514478376e-06
P.S./I.S. 78Q,Queens,147.0,2445,I.S. 204 Oliver W. Holmes,Queens,969.0,1504,K-8,Junior High-Intermediate-Middle,"48-09 CENTER BOULEVARD, QUEENS, NY 11109","36-41 28 STREET, QUEENS, NY 11106",0.0002537905665973011
P.S. 030 Westerleigh,Staten Island,207.0,2445,I.S. 027 Anning S. Prall,Staten Island,909.0,1504,Elementary,Junior High-Intermediate-Middle,"200 Wardwell Avenue, Staten Island, NY 10314","11 Clove Lake Place, Staten Island, NY 10310",1.740038260860113e-13
P.S. 021 Crispus Attucks,Brooklyn,830.0,2445,The School of Integrated Learning,Brooklyn,289.0,1504,Elementary,Junior High-Intermediate-Middle,"180 CHAUNCEY STREET, BROOKLYN, NY 11233","1224 PARK PLACE, BROOKLYN, NY 11213",2.83426496597454e-10
P.S. 024 Spuyten Duyvil,Bronx,71.0,2445,In-Tech Academy (M.S. / High School 368),Bronx,1049.0,1504,Elementary,Secondary School,"660 WEST 236 STREET, BRONX, NY 10463","2975 TIBBETT AVENUE, BRONX, NY 10463",1.6285258501888213e-06
P.S. 030 Westerleigh,Staten Island,207.0,2445,I.S. 051 Edwin Markham,Staten Island,916.0,1504,Elementary,Junior High-Intermediate-Middle,"200 Wardwell Avenue, Staten Island, NY 10314","80 WILLOWBROOK ROAD, STATEN ISLAND, NY 10302",0.0002801054549077549
P.S./ IS 178 Holliswood,Queens,1006.0,2445,J.H.S. 216 George J. Ryan,Queens,119.0,1504,K-8,Junior High-Intermediate-Middle,"189-10 RADNOR ROAD, QUEENS, NY 11423","64-20 175 Street, Queens, NY 11365",7.917305902972203e-07
P.S./ IS 178 Holliswood,Queens,1006.0,2445,J.H.S. 216 George J. Ryan,Queens,119.0,1504,K-8,Junior High-Intermediate-Middle,"189-10 RADNOR ROAD, QUEENS, NY 11423","64-20 175 Street, Queens, NY 11365",0.000156385135411686
P.S. 222 Katherine R. Snyder,Brooklyn,393.0,2445,J.H.S. 278 Marine Park,Brooklyn,732.0,1504,Elementary,Junior High-Intermediate-Middle,"3301 QUENTIN ROAD, BROOKLYN, NY 11234","1925 Stuart Street, Brooklyn, NY 11229",0.00012725362493042308
P.S. 013 Clement C. Moore,Queens,748.0,2445,J.H.S. 190 Russell Sage,Queens,381.0,1504,Elementary,Junior High-Intermediate-Middle,"55-01 94 STREET, QUEENS, NY 11373","68-17 AUSTIN STREET, QUEENS, NY 11375",1.1103851388358281e-12
P.S. 177 The Marlboro,Brooklyn,865.0,2445,I.S. 228 David A. Boody,Brooklyn,264.0,1504,Elementary,Junior High-Intermediate-Middle,"346 AVENUE P, BROOKLYN, NY 11204","228 AVENUE S, BROOKLYN, NY 11223",4.130259720582349e-05
The Fresh Creek School,Brooklyn,575.0,2445,I.S. 211 John Wilson,Brooklyn,555.0,1504,Elementary,Junior High-Intermediate-Middle,"875 Williams Avenue, Brooklyn, NY 11207","1001 EAST 100 STREET, BROOKLYN, NY 11236",4.428318820813653e-09
P.S. 58 - The School of Heroes,Queens,909.0,2445,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",Queens,222.0,1504,Elementary,K-8,"72-24 GRAND AVENUE, QUEENS, NY 11378","69-10 65 Drive, Queens, NY 11379",7.138614424148491e-11
P.S. 214 Cadwallader Colden,Queens,889.0,2445,J.H.S. 185 Edward Bleeker,Queens,243.0,1504,Elementary,Junior High-Intermediate-Middle,"31-15 140 Street, Queens, NY 11354","147-26 25 DRIVE, QUEENS, NY 11354",0.00010648072001338665
P.S./I.S. 113 Anthony J. Pranzo,Queens,665.0,2445,P.S./I.S. 087 Middle Village,Queens,469.0,1504,K-8,K-8,"78-23 87 Street, Queens, NY 11385","67-54 80 STREET, QUEENS, NY 11379",1.1841088815939445e-07
P.S. 58 - The School of Heroes,Queens,909.0,2445,P.S. 049 Dorothy Bonawit Kole,Queens,229.0,1504,Elementary,K-8,"72-24 GRAND AVENUE, QUEENS, NY 11378","63-60 80 Street, Queens, NY 11379",6.257757995322264e-07
P.S. 049 Dorothy Bonawit Kole,Queens,758.0,2445,J.H.S. 190 Russell Sage,Queens,381.0,1504,K-8,Junior High-Intermediate-Middle,"63-60 80 Street, Queens, NY 11379","68-17 AUSTIN STREET, QUEENS, NY 11375",1.175100218554249e-12
P.S. 222 Katherine R. Snyder,Brooklyn,393.0,2445,J.H.S. 078 Roy H. Mann,Brooklyn,748.0,1504,Elementary,Junior High-Intermediate-Middle,"3301 QUENTIN ROAD, BROOKLYN, NY 11234","1420 East 68 Street, Brooklyn, NY 11234",1.9350907787242777e-08
P.S. 268 Emma Lazarus,Brooklyn,438.0,2445,Middle School for Art and Philosophy,Brooklyn,710.0,1504,Elementary,Junior High-Intermediate-Middle,"133 EAST 53 STREET, BROOKLYN, NY 11203","1084 Lenox Road, Brooklyn, NY 11212",6.76524022350819e-09
P.S. 011 Kathryn Phelan,Queens,774.0,2445,I.S. 010 Horace Greeley,Queens,382.0,1504,Elementary,Junior High-Intermediate-Middle,"54-25 SKILLMAN AVENUE, QUEENS, NY 11377","45-11 31 Avenue, Queens, NY 11103",3.3381348912271406e-16
P.S. 003 Charrette School,Manhattan,277.0,2445,M.S. 297,Manhattan,885.0,1504,Elementary,Junior High-Intermediate-Middle,"490 HUDSON STREET, MANHATTAN, NY 10014","75 MORTON STREET, MANHATTAN, NY 10014",0.00019371593105711353
P.S. 131 Abigail Adams,Queens,497.0,2445,M.S. 358,Queens,669.0,1504,Elementary,Junior High-Intermediate-Middle,"170-21 84 Avenue, Queens, NY 11432","88-08 164 Street, Queens, NY 11432",3.438551027243013e-20
P.S. 196 Grand Central Parkway,Queens,13.0,2445,I.S. 250 The Robert F. Kennedy Community Middle School,Queens,1154.0,1504,Elementary,Junior High-Intermediate-Middle,"71-25 113 STREET, QUEENS, NY 11375","158-40 76 ROAD, QUEENS, NY 11366",1.586311537507112e-07
P.S. 186 Dr. Irving A Gladstone,Brooklyn,832.0,2445,I.S. 281 Joseph B Cavallaro,Brooklyn,337.0,1504,Elementary,Junior High-Intermediate-Middle,"7601 19 AVENUE, BROOKLYN, NY 11214","8787 24 AVENUE, BROOKLYN, NY 11214",9.833992047536817e-07
P.S. 186 Dr. Irving A Gladstone,Brooklyn,832.0,2445,I.S. 281 Joseph B Cavallaro,Brooklyn,337.0,1504,Elementary,Junior High-Intermediate-Middle,"7601 19 AVENUE, BROOKLYN, NY 11214","8787 24 AVENUE, BROOKLYN, NY 11214",8.691478331094789e-10
P.S. 032 State Street,Queens,440.0,2445,J.H.S. 189 Daniel Carter Beard,Queens,731.0,1504,Elementary,Junior High-Intermediate-Middle,"33-59 171 Street, Queens, NY 11358","144-80 BARCLAY AVENUE, QUEENS, NY 11355",2.697491685400808e-05
P.S. 249 The Caton,Brooklyn,308.0,2445,Ebbets Field Middle School,Brooklyn,864.0,1504,Elementary,Junior High-Intermediate-Middle,"18 MARLBOROUGH ROAD, BROOKLYN, NY 11226","46 MCKEEVER PLACE, BROOKLYN, NY 11225",1.858580736285701e-05
P.S. 094 The Henry Longfellow,Brooklyn,799.0,2445,J.H.S. 223 The Montauk,Brooklyn,374.0,1504,Elementary,Junior High-Intermediate-Middle,"5010 6 AVENUE, BROOKLYN, NY 11220","4200 16 Avenue, Brooklyn, NY 11204",4.426733770694929e-18
P.S./I.S. 113 Anthony J. Pranzo,Queens,665.0,2445,M.S. 137 America's School of Heroes,Queens,508.0,1504,K-8,Junior High-Intermediate-Middle,"78-23 87 Street, Queens, NY 11385","109-15 98 STREET, QUEENS, NY 11417",1.0201572514300829e-11
P.S. 018 Winchester,Queens,414.0,2445,Jean Nuzzi Intermediate School,Queens,762.0,1504,Elementary,Junior High-Intermediate-Middle,"86-35 235 COURT, QUEENS, NY 11427","213-10 92 AVENUE, QUEENS, NY 11428",1.0150055169455173e-07
P.S. 169 Sunset Park,Brooklyn,988.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"4305 7 AVENUE, BROOKLYN, NY 11232","4812 9 Avenue, Brooklyn, NY 11220",1.0402372359404832e-05
P.S. 169 Sunset Park,Brooklyn,988.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"4305 7 AVENUE, BROOKLYN, NY 11232","4812 9 Avenue, Brooklyn, NY 11220",2.772059717500631e-12
P.S. 169 Sunset Park,Brooklyn,988.0,2445,J.H.S. 220 John J. Pershing,Brooklyn,191.0,1504,Elementary,Junior High-Intermediate-Middle,"4305 7 AVENUE, BROOKLYN, NY 11232","4812 9 Avenue, Brooklyn, NY 11220",3.716430797011106e-10
P.S. 040 George W. Carver,Brooklyn,892.0,2445,The School of Integrated Learning,Brooklyn,289.0,1504,Elementary,Junior High-Intermediate-Middle,"265 RALPH AVENUE, BROOKLYN, NY 11233","1224 PARK PLACE, BROOKLYN, NY 11213",1.968324858055661e-09
The Peck Slip School,Manhattan,297.0,2445,M.S. 297,Manhattan,885.0,1504,Elementary,Junior High-Intermediate-Middle,"1 PECK SLIP, MANHATTAN, NY 10038","75 MORTON STREET, MANHATTAN, NY 10014",6.44821396233421e-08
P.S. 216 Arturo Toscanini,Brooklyn,849.0,2445,I.S. 281 Joseph B Cavallaro,Brooklyn,337.0,1504,Elementary,Junior High-Intermediate-Middle,"350 AVENUE X, BROOKLYN, NY 11223","8787 24 AVENUE, BROOKLYN, NY 11214",2.835782861160315e-08
P.S. 107 Thomas A Dooley,Queens,1070.0,2445,M.S. 158 Marie Curie,Queens,116.0,1504,Elementary,Junior High-Intermediate-Middle,"167-02 45 AVENUE, QUEENS, NY 11358","46-35 Oceania Street, Queens, NY 11361",1.1760180697634234e-06
P.S. 107 Thomas A Dooley,Queens,1070.0,2445,J.H.S. 216 George J. Ryan,Queens,119.0,1504,Elementary,Junior High-Intermediate-Middle,"167-02 45 AVENUE, QUEENS, NY 11358","64-20 175 Street, Queens, NY 11365",7.700768503674351e-05
