ATS System Code,Location Name,Location Category Description,Borough,Full Address,Zoned Elementary,Zoned Middle,Zoned High
84X588,South Bronx Classical Charter School IV,Elementary,Bronx,"757 Concourse Village West, Bronx, NY 10451",No,No,No
84X589,Bronx Charter School for Excellence 3,Elementary,Bronx,"3956 CARPENTER AVENUE, BRONX, NY 10466",No,No,No
84X592,Amber Charter School Kingsbridge,Elementary,Bronx,"3120 Corlear Avenue, BRONX, NY 10463",No,No,No
84X597,Urban Assembly Charter School for Computer Science,High school,Bronx,"447 Wales Avenue, Bronx, NY 10455",No,No,No
84X598,KIPP Freedom Charter School,Elementary,Bronx,"1825 PROSPECT AVENUE, BRONX, NY 10457",No,No,No
84X599,Cardinal McCloskey Community Charter School,Elementary,Bronx,"685 EAST 182 STREET, BRONX, NY 10457",No,No,No
84X606,Emblaze Academy Charter School,Junior High-Intermediate-Middle,Bronx,"1164 Garrison Avenue, Bronx, NY 10474",No,No,No
84X608,Bronx Charter School for Excellence 4,Elementary,Bronx,"4300 MURDOCK AVENUE, BRONX, NY 10466",No,No,No
84X609,Zeta Charter Schools - South Bronx,Elementary,Bronx,"425 Westchester Avenue, Bronx, NY 10455",No,No,No
84X610,Urban Dove Team Charter School II,High school,Bronx,"671 Prospect Avenue, Bronx, NY 10455",No,No,No
84X611,AECI II: NYC Charter High School for Computer Engineering and Innovation,High school,Bronx,"116 East 169 Street, Bronx, NY 10452",No,No,No
84X612,Creo College Preparatory Charter School,Junior High-Intermediate-Middle,Bronx,"524 COURTLANDT AVENUE, BRONX, NY 10451",No,No,No
84X613,Bold Charter School,Elementary,Bronx,"1909 DALY AVENUE, BRONX, NY 10460",No,No,No
84X614,Dream Charter School Mott Haven,Elementary,Bronx,"20 Bruckner Boulevard, Bronx, NY 10454",No,No,No
84X615,University Prep Charter Middle School,Junior High-Intermediate-Middle,Bronx,"470 JACKSON AVENUE, BRONX, NY 10455",No,No,No
84X616,KIPP Bronx Charter School II,Elementary,Bronx,"2720 Jerome Avenue, Bronx, NY 10468",No,No,No
84X617,KIPP Bronx Charter School III,Junior High-Intermediate-Middle,Bronx,"501 Gerard Avenue, Bronx, NY 10451",No,No,No
84X619,Bronx Arts and Science Charter School,Elementary,Bronx,"925 HUTCHINSON RIVER PARKWAY, BRONX, NY 10465",No,No,No
84X620,Bronx Charter School for Excellence 5,Elementary,Bronx,"1946 BATHGATE AVENUE, BRONX, NY 10457",No,No,No
84X623,Neighborhood Charter School: Bronx,Elementary,Bronx,"411 WALES AVENUE, BRONX, NY 10454",No,No,No
84X627,Capital Preparatory Bronx Charter School,Secondary School,Bronx,"755 Co-Op City Boulevard, Bronx, NY 10475",No,No,No
84X628,Brilla Caritas Charter School,Elementary,Bronx,"2336 ANDREWS AVENUE, BRONX, NY 10468",No,No,No
84X629,Brilla Pax Charter School,Junior High-Intermediate-Middle,Bronx,"1248 NELSON AVENUE, BRONX, NY 10452",No,No,No
84X630,Girls Preparatory Charter School of the Bronx II,Elementary,Bronx,"263 East 203 Street, Bronx, NY 10458",No,No,No
84X631,Zeta Charter School – Mount Eden,Elementary,Bronx,"1325 Jerome Avenue, Bronx, NY 10452",No,No,No
84X632,Zeta Charter School – Tremont Park,Elementary,Bronx,"1910 Arthur Avenue, Bronx, NY 10457",No,No,No
84X633,Wildflower New York Charter School,Elementary,Bronx,"1332 FULTON AVENUE, BRONX, NY 10456",No,No,No
84X635,Earl Monroe New Renaissance Basketball Charter School,High school,Bronx,"1617 PARKVIEW AVENUE, BRONX, NY 10461",No,No,No
84X637,Success Academy Charter School – Bronx 5 Lower,Elementary,Bronx,"604 East 139 Street, Bronx, NY 10454",No,No,No
84X638,Success Academy Charter School – Bronx 5 Upper,Elementary,Bronx,"604 East 139 Street, Bronx, NY 10454",No,No,No
84X639,Dream Charter School Highbridge,Elementary,Bronx,"1166-1182 River Avenue, Bronx, NY 10452",No,No,No
84X640,Family Life Academy Charter Schools High School,High school,Bronx,"1401 Inwood Avenue, Bronx, NY 10452",No,No,No
84X645,Success Academy Charter School - NYC 5,K-12 all grades,Bronx,"760 East Gun Hill Road, Bronx, NY 10467",No,No,No
84X646,Success Academy Charter School - NYC 6,Ungraded,Bronx,"760 East Gun Hill Road, Bronx, NY 10467",No,No,No
84X647,Success Academy Charter School - NYC 12,Ungraded,Bronx,"2169 Blackrock Avenue, Bronx, NY 10472",No,No,No
84X648,Girls Preparatory Charter School of New York,K-8,Bronx,"1160 BEACH AVENUE, BRONX, NY 10472",No,No,No
84X649,Democracy Preparatory Endurance Charter School,Secondary School,Bronx,"1000 Westchester Avenue, Bronx, NY 10459",No,No,No
84X652,Haven Charter High School,K-12 all grades,Bronx,"1529 Williamsbridge Road, Bronx, NY 10461",No,No,No
84X653,South Bronx Classical Charter School V,K-12 all grades,Bronx,"3880 Sedgwick Avenue, Bronx, NY 10463",No,No,No
84X703,Bronx Preparatory Charter School,Secondary School,Bronx,"3872 THIRD AVENUE, BRONX, NY 10457",No,No,No
84X704,KIPP Academy Charter School,K-12 all grades,Bronx,"250 EAST 156 STREET, BRONX, NY 10451",No,No,No
84X705,Family Life Academy Charter School,Elementary,Bronx,"14 WEST 170 STREET, BRONX, NY 10452",No,No,No
84X706,Harriet Tubman Charter School,K-8,Bronx,"3565 THIRD AVENUE, BRONX, NY 10456",No,No,No
84X717,Icahn Charter School 1,K-8,Bronx,"1506 Brook Avenue, Bronx, NY 10457",No,No,No
84X718,Bronx Charter School for Better Learning,Elementary,Bronx,"3740 Baychester Avenue, Bronx, NY 10466",No,No,No
84X730,Bronx Charter School for the Arts,K-8,Bronx,"950 LONGFELLOW AVENUE, BRONX, NY 10474",No,No,No
84X780,Success Academy Charter School - Harlem 6,Elementary,Bronx,"268 East 207 Street, Bronx, NY 10467",No,No,No
84X886,Success Academy Charter School - NYC 7,Ungraded,Bronx,"124 EAMES PLACE, BRONX, NY 10468",No,No,No
