ATS System Code,Location Name,Location Category Description,Borough,Full Address,Zoned Elementary,Zoned Middle,Zoned High
84K807,Collegiate Academy for Mathematics and Personal Awareness Charter School,Junior High-Intermediate-Middle,Brooklyn,"1962-84 Linden Boulevard, Brooklyn, NY 11207",No,No,No
84K876,Achievement First Voyager Charter School,K-8,Brooklyn,"35 STARR STREET, BROOKLYN, NY 11221",No,No,No
84K879,Brooklyn Prospect Charter School - CSD 13,K-8,Brooklyn,"1104 FULTON STREET, BROOKLYN, NY 11238",No,No,No
84K882,Success Academy Charter School - Bushwick,Elementary,Brooklyn,"139 MENAHAN STREET, BROOKLYN, NY 11221",No,No,No
84K883,Success Academy Charter School - Bed Stuy 3,Junior High-Intermediate-Middle,Brooklyn,"787 Lafayette Avenue, Brooklyn, NY 11221",No,No,No
84K886,Success Academy Charter School - Flatbush,Elementary,Brooklyn,"15 Snyder Avenue, Brooklyn, NY 11226",No,No,No
84K892,Brooklyn Emerging Leaders Academy Charter School,High school,Brooklyn,"125 STUYVESANT AVENUE, BROOKLYN, NY 11221",No,No,No
84K895,Hebrew Language Academy Charter School 2,Elementary,Brooklyn,"2286 Cropsey Avenue, Brooklyn, NY 11214",No,No,No
84K910,Cypress Hills Ascend Charter School,Elementary,Brooklyn,"396 GRANT AVENUE, BROOKLYN, NY 11208",No,No,No
84K911,Edmund W. Gordon Brooklyn Laboratory Charter School,Secondary School,Brooklyn,"77 Sands Street, BROOKLYN, NY 11226",No,No,No
84K927,Ivy Hill Preparatory Charter School,Elementary,Brooklyn,"475 EAST 57 STREET, BROOKLYN, NY 11203",No,No,No
84K928,Brooklyn Prospect Charter School - CSD 15.2,Junior High-Intermediate-Middle,Brooklyn,"3002 FORT HAMILTON PARKWAY, BROOKLYN, NY 11218",No,No,No
84K929,East Brooklyn Ascend Charter School,Elementary,Brooklyn,"260 SHEPHERD AVENUE, BROOKLYN, NY 11208",No,No,No
84K930,LEEP Dual Language Academy Charter School,Elementary,Brooklyn,"5323 5 AVENUE, BROOKLYN, NY 11220",No,No,No
84K933,Flatbush Ascend Charter School,Elementary,Brooklyn,"123 Linden Boulevard, Brooklyn, NY 11226",No,No,No
84K934,East Flatbush Ascend Charter School,Elementary,Brooklyn,"870 ALBANY AVENUE, BROOKLYN, NY 11203",No,No,No
84K937,Brooklyn RISE Charter School,Elementary,Brooklyn,"9 Hanover Place, BROOKLYN, NY 11201",No,No,No
84K956,Lamad Academy Charter School,Junior High-Intermediate-Middle,Brooklyn,"1060 CLARKSON AVENUE, BROOKLYN, NY 11212",No,No,No
84K964,Brooklyn Ascend Charter School 6,Ungraded,Brooklyn,"205 Rockaway Parkway, BROOKLYN, NY 11212",No,No,No
84K966,Bedford Stuyvesant New Beginnings Charter School II,Ungraded,Brooklyn,"82 LEWIS AVENUE, BROOKLYN, NY 11206",No,No,No
84K970,"Math, Engineering, and Science Academy Charter High School 2",High school,Brooklyn,"1222 63 Street, Brooklyn, NY 11219",No,No,No
84M068,KIPP NYC Washington Heights Academy Charter School,K-12 all grades,Manhattan,"21 JUMEL PLACE, MANHATTAN, NY 10032",No,No,No
84M080,Manhattan Charter School II,Elementary,Manhattan,"220 HENRY STREET, MANHATTAN, NY 10002",No,No,No
84M085,Global Community Charter School,Elementary,Manhattan,"2350 5 Avenue, Manhattan, NY 10037",No,No,No
84M100,Neighborhood Charter School of Harlem,K-8,Manhattan,"691 St Nicholas Avenue, MANHATTAN, NY 10030",No,No,No
84M168,East Harlem Scholars Academy Charter School II,K-8,Manhattan,"1573 Madison Avenue, Manhattan, NY 10029",No,No,No
84M170,Success Academy Charter School - Hell's Kitchen,Elementary,Manhattan,"439 West 49 Street, Manhattan, NY 10019",No,No,No
84M174,Success Academy Charter School - Union Square,K-8,Manhattan,"40 IRVING PLACE, MANHATTAN, NY 10003",No,No,No
84M202,Great Oaks Kathleen Sherry Charter School,Junior High-Intermediate-Middle,Manhattan,"240 BLEECKER STREET, MANHATTAN, NY 10014",No,No,No
84M204,Capital Preparatory Harlem Charter School,Secondary School,Manhattan,"2041 Madison Avenue, Manhattan, NY 10035",No,No,No
84M263,New York City Charter School of the Arts,Junior High-Intermediate-Middle,Manhattan,"241 WATER STREET, MANHATTAN, NY 10038",No,No,No
84M265,Success Academy Charter School - Washington Heights,Elementary,Manhattan,"701 Fort Washington Avenue, Manhattan, NY 10040",No,No,No
84M279,Opportunity Charter School,Secondary School,Manhattan,"240 WEST 113 STREET, MANHATTAN, NY 10026",No,No,No
84M284,Harlem Children's Zone Promise Academy Charter School,K-12 all grades,Manhattan,"245 West 129 Street, Manhattan, NY 10027",No,No,No
84M295,School in the Square Public Charter School,Junior High-Intermediate-Middle,Manhattan,"120 WADSWORTH AVENUE, MANHATTAN, NY 10033",No,No,No
84M320,Manhattan Charter School,Elementary,Manhattan,"100 ATTORNEY STREET, MANHATTAN, NY 10002",No,No,No
84M329,Harlem Link Charter School,Elementary,Manhattan,"21 WEST 111 STREET, MANHATTAN, NY 10026",No,No,No
84M335,Harlem Village Academy East Charter School,K-12 all grades,Manhattan,"2351 FIRST AVENUE, MANHATTAN, NY 10035",No,No,No
84M336,KIPP Infinity Charter School,K-12 all grades,Manhattan,"625 West 133 Street, Manhattan, NY 10027",No,No,No
84M337,NYC Autism Charter School East Harlem,Ungraded,Manhattan,"433 EAST 100 STREET, MANHATTAN, NY 10029",No,No,No
84M338,WHIN Music Community Charter School,Elementary,Manhattan,"528 West 162 Street, Manhattan, NY 10032",No,No,No
84M341,Harlem Children's Zone Promise Academy II Charter School,K-12 all grades,Manhattan,"35 East 125 Street, Manhattan, NY 10035",No,No,No
84M350,Democracy Preparatory Charter School,Secondary School,Manhattan,"2230 5 AVENUE, MANHATTAN, NY 10037",No,No,No
84M351,Success Academy Charter School - Harlem 1,K-12 all grades,Manhattan,"34 West 118 Street, Manhattan, NY 10026",No,No,No
84M353,New Heights Academy Charter School,Secondary School,Manhattan,"1818 AMSTERDAM AVENUE, MANHATTAN, NY 10031",No,No,No
