School Name,State Rank,Total Schools
F E Bellows Elementary School,177,2445
Minnesauke Elementary School,178,2445
Ps 174 William Sidney Mount,179,2445
Stratford Avenue School,180,2445
West End School,181,2445
Ps 159,182,2445
Country Parkway Elementary School,183,2445
Saddle Rock School,184,2445
Bedford Road School,185,2445
Nassakeag Elementary School,186,2445
East Hills Elementary School,187,2445
Hewitt School,188,2445
Elsmere Elementary School,189,2445
Barbara Esselborn School (The),190,2445
Pasadena Elementary School,191,2445
Berry Hill Elementary School,192,2445
Hunters Point Elementary School,193,2445
Community Partnership Charter School,194,2445
Ps/Is 187 Hudson Cliffs,195,2445
Stratford Road School,196,2445
Ps 23 Richmondtown,197,2445
Hillside Grade School,198,2445
Ps 209 Clearview Gardens,199,2445
Stewart School,200,2445
Brooklyn Prospect Charter School - Central School District 13.2,201,2445
Ps 221 North Hills School (The),202,2445
James J Ambrose School (The),203,2445
Valley Cottage School,204,2445
Ps 199 Jessie Isador Straus,205,2445
Success Academy Charter School-Flatbush,206,2445
Ps 30 Westerleigh,207,2445
Locust Valley Intermediate School,208,2445
Bell Top School,209,2445
Lake George Elementary School,210,2445
Chango Elementary School,211,2445
Katonah Elementary School,212,2445
Harlem Village Academy North Charter School,213,2445
Ps 58 Carroll (The),214,2445
Marion Street School,215,2445
Success Academy Charter School-Harlem 1,216,2445
Clearstream Avenue School,217,2445
Ps 132 Conselyea School (The),218,2445
Ps 3 Margaret Gioiosa School (The),219,2445
Concord Road Elementary School,220,2445
Success Academy Charter School-Harlem 4,221,2445
Ps 105 Blythebourne (The),222,2445
Sixth Avenue Elementary School,223,2445
Francis L Stevens Elementary School,224,2445
Ellicott Road Elementary School,225,2445
Ps 32 Gifford School (The),226,2445
Anne Hutchinson School,227,2445
Icahn Charter School 1,228,2445
Norman J Levy Lakeside School,229,2445
Ps 130 Hernando De Soto,230,2445
John J Daly Elementary School,231,2445
Skano Elementary School,232,2445
Meadowbrook Elementary School,233,2445
Putnam Valley Elementary School,234,2445
Pocantico Hills Central School,235,2445
Washington Heights Academy,236,2445
Central Queens Academy Charter School,237,2445
Old Bethpage School,238,2445
Kramer Lane Elementary School,239,2445
River School (The),240,2445
John F Kennedy School,241,2445
Community Roots Charter School,242,2445
Crompond School,243,2445
Ps 122 Mamie Fay,244,2445
Ps/Is 119 Glendale (The),245,2445
Smallwood Drive School,246,2445
Ledgeview Elementary School,247,2445
Chatterton School,248,2445
West Elementary School,249,2445
Icahn Charter School 5,250,2445
Little Tor Elementary School,251,2445
Ps 134,252,2445
South Bronx Classical Charter School II,253,2445
West Patent Elementary School,254,2445
Springhurst Elementary School,255,2445
Park Road School,256,2445
Ps 198 Isador E Ida Straus,257,2445
Steam Bridge School (The),258,2445
Evans Park School,259,2445
Main Street School School (4-5),260,2445
Ps 127 McKinley Park,261,2445
Muscota,262,2445
Tecumseh Elementary School,263,2445
Mott Road Elementary School,264,2445
Watson School,265,2445
Harris Hill Elementary School,266,2445
Allen Creek School,267,2445
Success Academy Charter School-Bed Stuy 2,268,2445
Paumanok Elementary School,269,2445
Judy Jacobs Parkway Elementary School,270,2445
Rosendale School,271,2445
Ps 452,272,2445
Lincoln Avenue School,273,2445
Haldane Elementary School,274,2445
Central School,275,2445
Lake Avenue Elementary School,276,2445
Ps 3 Charrette School,277,2445
Forest Road School,278,2445
Hellenic Classical Charter School Park Slope,279,2445
Ps 173 Fresh Meadows,280,2445
Brooklyn Landmark Elementary School,281,2445
Vanderbilt Elementary School,282,2445
East Moriches Elementary School,283,2445
Maurice Sendak Community School (The),284,2445
Moses Dewitt Elementary School,285,2445
Ps 133 The Bellerose School Of Excellence,286,2445
John Lewis Childs School,287,2445
Bold Charter School,288,2445
Milton Terrace Elementary School,289,2445
Ps 193 Alfred J Kennedy,290,2445
Upper Nyack School,291,2445
Sheridan Hill Elementary School,292,2445
John Philip Sousa Elementary School,293,2445
Ps 236 Mill Basin,294,2445
Birch School,295,2445
Ps/Is 217 Roosevelt Island,296,2445
Peck Slip School (The),297,2445
Ps 101 Verrazano (The),298,2445
Ps 186 Castlewood,299,2445
Daniel Webster Elementary School,300,2445
Bronx Charter School For Excellence 5,301,2445
Ps 150,302,2445
Citizen Edmond Genet School,303,2445
Ps 7 Please Believe In Yourself,304,2445
Hunter College High School,305,2445
Riverdale Country School,306,2445
Poly Prep Country Day School,307,2445
Dalton School (The),308,2445
