School Name,State Rank,Total Schools
Friendship Central School,199,1242
Lakeland High School,200,1242
La Fargeville Central School,201,1242
Randolph Senior High School,202,1242
Thomas High School,203,1242
Greene High School,204,1242
Pembroke Junior-Senior High School,205,1242
Marcus Whitman High School,206,1242
Kendall Junior-Senior High School,207,1242
Edwards-Knox Junior-Senior High School,208,1242
Eastport-South Manor Junior Senior High School,209,1242
Pioneer Senior High School,210,1242
Manhattan/Hunter Science High School,211,1242
Southern Cayuga 7-12 Secondary School,212,1242
Seaford Senior High School,213,1242
Madrid-Waddington Junior-Senior High School,214,1242
Union Springs High School,215,1242
Akron High School,216,1242
Fiorello H Laguardia High School,217,1242
Clarkstown North Senior High School,218,1242
Horseheads Senior High School,219,1242
Brooklyn Bridge Academy,220,1242
Fillmore Central School,221,1242
Shaker High School,222,1242
Morris Central School,223,1242
Baccalaureate School For Global Education,224,1242
Le Roy Junior-Senior High School,225,1242
Eden Middle & High School,226,1242
Potsdam Senior High School,227,1242
New Paltz Senior High School,228,1242
Belfast School,229,1242
Stillwater Middle School High School,230,1242
Sherman High School,231,1242
Sandy Creek High School,232,1242
Marion Junior-Senior High School,233,1242
Westhampton Beach Senior High School,234,1242
Alexandria Central High School,235,1242
Frewsburg Junior-Senior High School,236,1242
Bradford Central School,237,1242
Geneseo Middle School High School,238,1242
Bard High School Early College Queens,239,1242
Carmel High School,240,1242
Plainedge Senior High School,241,1242
Morrisville Middle School High School,242,1242
High School For Community Leadership,243,1242
Fredonia High School,244,1242
Lowville High School,245,1242
Chateaugay High School,246,1242
Beekmantown High School,247,1242
Holland Patent Central High School,248,1242
Hunter-Tannersville Middle School High School,249,1242
Allegany-Limestone Middle-High School,250,1242
Aviation Career And Technical Education High School,251,1242
Floral Park Memorial High School,252,1242
Sullivan West High School At Lake Huntington,253,1242
Honeoye Middle/High School,254,1242
Edmeston Central School,255,1242
Valley Stream Central High School,256,1242
Copenhagen Central School,257,1242
Webster-Schroeder High School,258,1242
Naples High School,259,1242
George W Hewlett High School,260,1242
Iroquois Senior High School,261,1242
Sauquoit Valley High School,262,1242
Carle Place Middle Senior High School,263,1242
Moravia Junior-Senior High School,264,1242
Rye Neck Senior High School,265,1242
Owego Free Academy,266,1242
West Genesee Senior High School,267,1242
Croton-Harmon High School,268,1242
Nyc Lab High School For Collaborative Studies,269,1242
Pawling High School,270,1242
Bedford Academy High School,271,1242
Lake Placid Junior-Senior High School,272,1242
Whitesboro High School,273,1242
Canaseraga School,274,1242
Colonie Central High School,275,1242
Caledonia-Mumford Middle/High School,276,1242
Germantown Junior-Senior High School,277,1242
Hilton High School,278,1242
Oneonta Senior High School,279,1242
Onteora High School,280,1242
East Islip High School,281,1242
Frontier Senior High School,282,1242
Rocky Point High School,283,1242
Attica Senior High School,284,1242
Alexander Middle School-High School,285,1242
Susquehanna Valley Senior High School,286,1242
McGraw Secondary School,287,1242
Penn Yan Academy,288,1242
Red Hook Senior High School,289,1242
Cattaraugus-Little Valley High School,290,1242
Southwestern Senior High School,291,1242
Cambridge Junior-Senior High School,292,1242
Niagara-Wheatfield Senior High School,293,1242
Holland High School,294,1242
Harrisville Junior-Senior High School,295,1242
Walter Panas High School,296,1242
Indian River High School,297,1242
H Frank Carey High School,298,1242
Valley Stream North High School,299,1242
Charles O Dickerson High School,300,1242
Hadley-Luzerne Junior-Senior High School,301,1242
Fishers Island School,302,1242
Windham Ashland Central School,303,1242
Hammondsport Junior-Senior High School,304,1242
Roxbury Central School,305,1242
Milford Central School,306,1242
Cincinnatus High School,307,1242
Town Of Webb School,308,1242
Valhalla High School,309,1242
Cicero-North Syracuse High School,310,1242
Valley Central High School,311,1242
General Brown Junior-Senior High School,312,1242
Ichabod Crane Senior High School,313,1242
Francis Lewis High School,314,1242
School 7-Oceanside Senior High School,315,1242
Fox Lane High School,316,1242
Manhattan Village Academy,317,1242
Island Trees High School,318,1242
Hartford Middle/High School,319,1242
Avon High School,320,1242
Letchworth Senior High School,321,1242
Hinsdale Central School,322,1242
Queensbury Senior High School,323,1242
Marcellus High School,324,1242
John V Lindsay Wildcat Academy Charter School,325,1242
Windsor Central High School,326,1242
Pine Bush Senior High School,327,1242
Chenango Valley High School,328,1242
Nyack Senior High School,329,1242
Nyc Museum School,330,1242
Saugerties Senior High School,331,1242
Bloomfield High School,332,1242
Charles W Baker High School,333,1242
Broadalbin-Perth Junior-Senior High School,334,1242
Oakfield-Alabama Middle School High School,335,1242
South Jefferson High School,336,1242
Mayfield Junior/Senior High School,337,1242
Sidney High School,338,1242
Long Beach High School,339,1242
Providing Urban Learners Success In Education High School,340,1242
Mahopac High School,341,1242
Walt Whitman High School,342,1242
Pharos Academy Charter School,343,1242
Monroe-Woodbury High School,344,1242
Wallkill Senior High School,345,1242
Delaware Academy High School,346,1242
Catskill Senior High School,347,1242
Lansing High School,348,1242
Willsboro Central School,349,1242
Newfane Senior High School,350,1242
Stissing Mountain Junior/Senior High School,351,1242
Hornell Junior-Senior High School,352,1242
Lyme Central School,353,1242
Jasper-Troupsburg Junior-Senior High School,354,1242
Putnam Valley High School,355,1242
Bainbridge-Guilford High School,356,1242
Margaretville Central School,357,1242
Frankfort-Schuyler Central High School,358,1242
Palmyra-Macedon Senior High School,359,1242
Nyc Ischool,360,1242
Poland Junior-Senior High School,361,1242
L A Webber Middle-High School,362,1242
Saranac High School,363,1242
Oyster Bay High School,364,1242
Scotia-Glenville Senior High School,365,1242
Gowanda High School,366,1242
Brooklyn Prospect Charter School - Central School District 15.2,367,1242
Irondequoit High School,368,1242
Churchville-Chili Senior High School,369,1242
Chatham High School,370,1242
Arlington High School,371,1242
Ballston Spa Senior High School,372,1242
Academy For College Prep And Career Exp,373,1242
Schalmont High School,374,1242
Maple Hill Junior/Senior High School,375,1242
Marathon High School,376,1242
Canisteo-Greenwood High School,377,1242
Waterford-Halfmoon Junior-Senior High School,378,1242
Depew High School,379,1242
Marlboro Central High School,380,1242
Royalton-Hartland High School,381,1242
Bard High School Early College,382,1242
Millbrook High School,383,1242
Sachem High School East,384,1242
Worcester School,385,1242
Goshen Central High School,386,1242
Deposit Middle-Senior High School,387,1242
International Leadership Charter High School,388,1242
Oxford Academy High School,389,1242
Genesee Valley Central School,390,1242
